[0-0][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-27][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-28][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-29][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-30][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-31][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-32][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-33][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-34][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-35][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-36][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-37][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-38][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-39][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-40][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-41][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-42][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-43][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-44][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-45][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-46][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-47][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-48][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-49][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-50][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-51][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-52][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-53][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-54][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-55][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-56][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-57][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-58][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-59][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-60][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-61][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-62][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-63][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-64][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-65][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-66][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-67][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-68][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-69][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-70][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-71][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-72][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-73][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-74][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-75][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-76][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-77][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-78][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-79][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-80][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-81][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-82][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[0-83][est]:5.60956704249e-115, [payload]:0, [RSSI]:-44.0043449451 
[1-0][est]:1.30452295981e-117, [payload]:e0, [RSSI]:-45.0054707509 
[1-1][est]:1.30452295981e-117, [payload]:a, [RSSI]:-45.0054707509 
[1-2][est]:1.30452295981e-117, [payload]:d0, [RSSI]:-45.0054707509 
[1-3][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-4][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-5][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-6][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-7][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-8][est]:1.30452295981e-117, [payload]:e4, [RSSI]:-45.0054707509 
[1-9][est]:1.30452295981e-117, [payload]:c0, [RSSI]:-45.005470751 
[1-10][est]:1.30452295981e-117, [payload]:5, [RSSI]:-45.005470751 
[1-11][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-12][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-13][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-14][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-15][est]:1.30452295981e-117, [payload]:ef, [RSSI]:-45.0054707509 
[1-16][est]:1.30452295981e-117, [payload]:f0, [RSSI]:-45.0054707509 
[1-17][est]:1.30452295981e-117, [payload]:c, [RSSI]:-45.0054707509 
[1-18][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-19][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-20][est]:1.30452295981e-117, [payload]:90, [RSSI]:-45.0054707509 
[1-21][est]:1.30452295981e-117, [payload]:10, [RSSI]:-45.0054707509 
[1-22][est]:1.30452295981e-117, [payload]:1, [RSSI]:-45.0054707509 
[1-23][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-24][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-25][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-26][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-27][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-28][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-29][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-30][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-31][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-32][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-33][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-34][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-35][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-36][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-37][est]:1.30452295981e-117, [payload]:b8, [RSSI]:-45.0054707509 
[1-38][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-39][est]:1.30452295981e-117, [payload]:37, [RSSI]:-45.005470751 
[1-40][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-41][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-42][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-43][est]:1.30452295981e-117, [payload]:c9, [RSSI]:-45.0054707509 
[1-44][est]:1.30452295981e-117, [payload]:f, [RSSI]:-45.005470751 
[1-45][est]:1.30452295981e-117, [payload]:35, [RSSI]:-45.005470751 
[1-46][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707511 
[1-47][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707511 
[1-48][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-49][est]:1.30452295981e-117, [payload]:c, [RSSI]:-45.005470751 
[1-50][est]:1.30452295981e-117, [payload]:c0, [RSSI]:-45.005470751 
[1-51][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-52][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707511 
[1-53][est]:1.30452295981e-117, [payload]:90, [RSSI]:-45.005470751 
[1-54][est]:1.30452295981e-117, [payload]:18, [RSSI]:-45.005470751 
[1-55][est]:1.30452295981e-117, [payload]:d0, [RSSI]:-45.005470751 
[1-56][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-57][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-58][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-59][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-60][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-61][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-62][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-63][est]:1.30452295981e-117, [payload]:f0, [RSSI]:-45.005470751 
[1-64][est]:1.30452295981e-117, [payload]:1d, [RSSI]:-45.005470751 
[1-65][est]:1.30452295981e-117, [payload]:70, [RSSI]:-45.005470751 
[1-66][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-67][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-68][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-69][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-70][est]:1.30452295981e-117, [payload]:70, [RSSI]:-45.005470751 
[1-71][est]:1.30452295981e-117, [payload]:c, [RSSI]:-45.005470751 
[1-72][est]:1.30452295981e-117, [payload]:d5, [RSSI]:-45.005470751 
[1-73][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-74][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-75][est]:1.30452295981e-117, [payload]:e0, [RSSI]:-45.005470751 
[1-76][est]:1.30452295981e-117, [payload]:8, [RSSI]:-45.005470751 
[1-77][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-78][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-79][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-80][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.005470751 
[1-81][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-82][est]:1.30452295981e-117, [payload]:0, [RSSI]:-45.0054707509 
[1-83][est]:1.30452295981e-117, [payload]:cf, [RSSI]:-45.0054707509 
[2-0][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-1][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-2][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-3][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-4][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-5][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-6][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-7][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-8][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-9][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-10][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-11][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-12][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-13][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-14][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-15][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-16][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-17][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-18][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-19][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-20][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-21][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-22][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-23][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-24][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-25][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-26][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-27][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-28][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-29][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-30][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-31][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-32][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-33][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-34][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-35][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-36][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-37][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-38][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-39][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-40][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-41][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-42][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-43][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-44][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-45][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-46][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-47][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-48][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-49][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-50][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-51][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-52][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-53][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-54][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-55][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-56][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-57][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-58][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-59][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-60][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-61][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-62][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-63][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-64][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-65][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-66][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-67][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-68][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-69][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-70][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-71][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-72][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-73][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-74][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-75][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-76][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-77][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-78][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-79][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-80][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-81][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-82][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[2-83][est]:2.48517347146e-115, [payload]:0, [RSSI]:-44.0043449451 
[3-0][est]:1.30689604485e-120, [payload]:f, [RSSI]:-46.006888455 
[3-1][est]:1.30689604485e-120, [payload]:3a, [RSSI]:-46.006888455 
[3-2][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-3][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-4][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-5][est]:1.30689604485e-120, [payload]:ae, [RSSI]:-46.006888455 
[3-6][est]:1.30689604485e-120, [payload]:d0, [RSSI]:-46.006888455 
[3-7][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-8][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-9][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-10][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-11][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-12][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-13][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-14][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-15][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-16][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-17][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-18][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-19][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-20][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-21][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-22][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-23][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-24][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-25][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-26][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-27][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-28][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-29][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-30][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-31][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-32][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-33][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-34][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-35][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-36][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-37][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-38][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-39][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-40][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-41][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-42][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-43][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-44][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-45][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-46][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-47][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-48][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-49][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-50][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-51][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-52][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-53][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-54][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-55][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-56][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-57][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-58][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-59][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-60][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-61][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-62][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-63][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-64][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-65][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-66][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-67][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-68][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-69][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.0068884551 
[3-70][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-71][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-72][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-73][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-74][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-75][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-76][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-77][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-78][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-79][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-80][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-81][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-82][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[3-83][est]:1.30689604485e-120, [payload]:0, [RSSI]:-46.006888455 
[4-0][est]:3.1404934181e-118, [payload]:0, [RSSI]:-45.0054707509 
[4-1][est]:3.1404934181e-118, [payload]:0, [RSSI]:-45.0054707509 
[4-2][est]:3.1404934181e-118, [payload]:0, [RSSI]:-45.0054707509 
[4-3][est]:3.1404934181e-118, [payload]:0, [RSSI]:-45.0054707509 
[4-4][est]:3.1404934181e-118, [payload]:0, [RSSI]:-45.0054707509 
[4-5][est]:3.1404934181e-118, [payload]:0, [RSSI]:-45.0054707509 
